[[5587   33    3    2    8    0    0    1    0    0]
 [  62  221    0    0    0    0    0    0    0    0]
 [  16    0    3    0    0    0    0    0    0    0]
 [  25    1    0   32    0    0    0    0    0    0]
 [  35    0    0    0   39    0    0    0    0    0]
 [   9    0    0    0    0    2    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    0    0    0    0]
 [   0    0    1    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
