[[9075   18    1    0    1    0    0    0    0    0]
 [  72  636    0    0    0    0    0    0    0    0]
 [   4    0    0    0    0    0    0    0    0    0]
 [   8    0    0   15    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   4    1    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    0    1    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]]
