[[187   6   6   0   0   0   0   0   0   0]
 [  4  97   5   0   1   0   0   0   0   0]
 [  6   2 472   0   0  10   0   0   0   0]
 [  0   0   0   1   0   0   0   0   0   0]
 [  0   0   0   0  28   0   2   0   0   0]
 [  1   0   2   0   0  36   0   0   0   0]
 [  1   4   3   0   8   0  15   0   0   0]
 [  1   0   0   0   0   0   0   4   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   1   0   0   0   0   0]]
