[[3283   24    4   20  125    0    0    3    0    0]
 [ 105  325    3    2   19    0    0    7    0    0]
 [  13    3  741   13    7    0    0    2    0    0]
 [  44    2   13  306   27    0    0    2    4    0]
 [ 177    8    3   17 1349    1    1   16    2    0]
 [   1    0    0    0    2  111    0    0    0    0]
 [   3    0    0    0    1    0   12    0    0    0]
 [   9   11    1    0   48    0    0   40    0    0]
 [   1    0    0    0    4    1    0    0   29    0]
 [   1    0    0    0    0    0    0    0    0    0]]
