[[202   5   7   7   0   0   0   0   0   0]
 [ 27 126   0  13   0   0   0   0   0   0]
 [  8   3  76   1   0   0   0   0   0   0]
 [  4   5   1 188   0   0   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  0   1   0   0   0   1   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  0   0   0   1   0   0   0   0   0   0]
 [  0   1   1   0   0   0   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]]
