[[5134    3    3    0    8    0    0    0    0    0]
 [  32   31    0    0    0    0    0    0    0    0]
 [  33    0  149    0    2    0    0    2    0    0]
 [   9    0    0    0    0    0    0    0    0    0]
 [  27    1    1    0   81    0    0    0    0    0]
 [   1    0    0    0    1    1    0    0    0    0]
 [   0    0    0    0    0    0   16    0    0    0]
 [   3    0    5    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    1    0    0    0]
 [   6    0    0    0    0    0    0    0    0    2]]
