[[1382    3    0    0    2    6    0    0    0    0]
 [   1  156    0    2    3   14    0    0    0    0]
 [   0    0    0    1    0    0    0    0    0    0]
 [   0    3    0   93   11   16    0    0    0    0]
 [  35    2    0    4  114   19    0    0    0    0]
 [   0   13    0    3    5  368    0    0    0    0]
 [   0    0    0    0    0    2    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    1    0    0    0    0]
 [   0    0    0    5    0    1    0    0    0    1]]
