[[1970   36    0    1    1    1    1    3    0    0]
 [  37 1168    0    0    1    1    0    0    1    0]
 [   0    9    0    0    0    0    0    0    0    0]
 [   1    2    0    1    0    0    0    0    0    0]
 [   1    3    0    0    0    0    0    0    0    0]
 [   1    1    0    0    0    4    0    0    0    0]
 [   7    3    0    0    0    0    3    0    0    0]
 [  27    4    1    0    0    0    0    8    0    0]
 [   0    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
