[[4023   12    7    0    0    0    0    0    0    1]
 [  68  221    4    1    0    0    0    0    0    0]
 [  23    2  241    0    0    0    0    0    0    0]
 [  17    3    0    2    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   3    0    0    0    0    0    0    0    0    0]
 [   4    0    0    0    0    0    1    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   5    0    0    0    0    0    0    0    2    0]
 [   4    0    0    0    0    0    0    0    0    0]]
