[[1486    1   14    2    0    0    0    0    0    0]
 [  10  185   14    3    0    0    0    0    0    0]
 [  33   17  314    8    0    1    2    0    0    0]
 [  26    1   28   57    0    1    2    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   2    0    3    0    0    7    2    0    0    0]
 [  10    0    9    7    0    3   48    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
