[[1335   50    3    1    2    0    0    0    0    0]
 [  64  180    0    0    0    0    0    0    0    0]
 [  24    0    4    0    0    0    0    0    0    0]
 [   4    0    0   11    0    0    0    0    0    0]
 [   4    0    0    0    4    0    0    0    0    0]
 [   4    0    0    0    0    3    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
