[[1161   59   10    0    0    0    0    0    0    0]
 [  62 1269    2    0    1    0    0    0    0    0]
 [  35   14   31    0    0    0    0    0    0    0]
 [   4    5    0   10    0    0    0    0    0    0]
 [   5   22    0    0   12    0    0    0    0    0]
 [   2    1    0    0    1    2    0    0    0    0]
 [   1    0    0    0    0    0    5    0    0    0]
 [   4    0    0    0    2    0    0    1    0    0]
 [   0    0    0    0    0    0    0    0    1    0]
 [   1    0    0    0    0    0    0    0    0    0]]
