[[763   1   9   1   1   2   1   0   0   0]
 [  2 132   6   1   0   0   0   0   0   0]
 [ 29   5 112   0   0   1   1   0   0   0]
 [  8   0   1 121   0   0   0   1   0   0]
 [  8   0   1   0   7   0   0   0   0   0]
 [ 10   1   0   0   0   6   0   1   0   0]
 [ 13   0   1   0   0   0   6   1   0   0]
 [  4   0   0   0   0   0   5  62   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]]
