[[2047    5   39    0    0    1    0    0    0    0]
 [  41  549    0    7    0    0    0    0    0    0]
 [  25    2  323    0    0    0    0    0    0    0]
 [   7    2    0   14    0    0    0    0    0    0]
 [   5    1    0    0    3    0    0    0    0    0]
 [   5    0    1    0    0   25    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   0    0    2    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
