[[336   2   0   3   0   0   0   0   2   0]
 [  0  22   0  25   0   0   0   0   0   0]
 [  2   0   2   0   0   1   0   0   0   0]
 [  0  46   0 104   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0   0   0]
 [  5   1   0   0   2   4   0   1   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  0   0   0   4   0   0   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]
 [  1   0   0   0   0   0   0   0   0   0]]
