[[2766    2    0   23    0    0    0    0    0    0]
 [   9  451    0    1    0    0    0    0    0    0]
 [   8    0    0    1    0    0    0    0    0    0]
 [  52    0    0  114    0    0    0    0    0    1]
 [   1    0    0    0    0    0    0    0    0    0]
 [   7    6    0    1    0    1    0    0    0    0]
 [   3    0    0    0    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    0    0    0    0]]
