[[1226   34    0    1    0    0    2    1    0    0]
 [  75 7469    0    1    0    0    0    0    0    0]
 [   7    3    5    0    0    0    0    0    0    0]
 [   0    0    0   76    0    0    0    0    0    0]
 [  13    4    0    0   50    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   0    2    0    0    0    0  111    2    0    0]
 [  15    4    0    0    0    0   22   68    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    1    0    0    0]]
