[[4225   16    0    4    0    0    0    0    0    0]
 [  72  326    0    0    0    0    0    0    0    0]
 [   4    0    2    0    0    0    0    0    0    0]
 [  13    0    0   54    0    0    0    0    0    0]
 [   0    0    0    0   21    1    0    0    0    0]
 [  20    1    0    0    0   39    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   3    0    0    0    0    1    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]]
