[[1088    4   10    0   16    0    0    0    0    0]
 [   7  282    0    0    0    0    0    0    0    1]
 [  35    0    5    0    0    0    0    0    0    0]
 [   2    0    0    2    0    0    0    0    0    0]
 [  39    0    1    0    0    0    0    0    0    0]
 [   2    0    0    0    0    0    0    0    0    0]
 [   8    0    0    0    0    0   33    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   0    0    0    0    0    0    0    0    0    0]]
