[[3390   14    5    6    0    0    0    0    0    0]
 [  51  467    0    2    0    1    0    0    0    0]
 [  55    4   97    0    0    0    0    0    0    0]
 [  30    2    0   66    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   2    0    2    0    0    3    0    0    0    0]
 [   0    0    0    0    0    0    3    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
