[[3508    1    3    9    4    5    0    0    0    0]
 [  71  239    0    0    0    0    1    0    0    0]
 [  33    0  109    1    0    0    0    0    0    0]
 [  54    1    0  103    0    0    0    0    0    0]
 [  33    0    1    1   25    0    0    0    0    0]
 [   5    1    0    0    0   17    0    0    0    0]
 [   0    0    0    0    0    0    0    0    0    0]
 [   0    1    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]
 [   1    0    0    0    0    0    0    0    0    0]]
